Quotation Expecting Day,Customer Name,Part Number,Product Name,Product Category,Quantity
2025-02-20,Sirimavo Bandaranayake Children Hospital,81901,REACTION/ALIQUOT VESSEL CARTRIDGES-1 BOX,IMMUNOLOGY,4.0
2025-02-20,Sirimavo Bandaranayake Children Hospital,33020,FERRITIN- ACCESS®- 2 X 50 TESTS,IMMUNOLOGY,2.0
2025-02-20,Sirimavo Bandaranayake Children Hospital,A16792,WASH BUFFER II- ACCESS®- 4 BOTTLES- 1.9 L/BOTTLE,IMMUNOLOGY,8.0
2025-02-20,Sirimavo Bandaranayake Children Hospital,81904,WASTE BAGS- ACCESS®- 1 BOX- 20 BAGS/BOX,IMMUNOLOGY,2.0
2025-02-05,R.D.H.S - Jaffna,24001587,GEM CVP GEM 3K 4X5X2.5ML MULTIPACK,BLOODGAS & ELECTROLYTE,3.0
2025-02-05,R.D.H.S - Jaffna,26307589,GEM 3/3.5K BG/ISE/GL075 TEST IQM PAK,BLOODGAS & ELECTROLYTE,30.0
2025-02-05,R.D.H.S - Jaffna,5508-IL,PRINTER PAPER,LOCAL-PURCHASE,15.0
2025-02-07,District General Hospital - Matara,26315089,GEM 3/3.5K BG/ISE/GL150 TEST IQM PAK,BLOODGAS & ELECTROLYTE,4.0
2025-02-07,District General Hospital - Mannar,26315089,GEM 3/3.5K BG/ISE/GL150 TEST IQM PAK,BLOODGAS & ELECTROLYTE,4.0
2025-02-11,Teaching Hospital - Kurunagala,26315089,GEM 3/3.5K BG/ISE/GL150 TEST IQM PAK,BLOODGAS & ELECTROLYTE,4.0
2025-02-20,Sirimavo Bandaranayake Children Hospital,00020301100,FIBRINOGEN-CLAUSS KIT HEMOSIL 10X2ML,COAGULATION,1.0
2025-02-20,Sirimavo Bandaranayake Children Hospital,20003700,CALIBRATION PLASMA HEMOSIL 10X1ML,COAGULATION,2.0
2025-02-20,Sirimavo Bandaranayake Children Hospital,20006800,APTT RGT SYNTHASIL HEMOSIL,COAGULATION,3.0
